04-07-2025 18:13:28 | ERROR: status: 500 | Message: Cannot read properties of undefined (reading '_id')
04-07-2025 18:15:35 | ERROR: status: 500 | Message: Cannot read properties of undefined (reading '_id')
04-07-2025 18:16:17 | ERROR: status: 500 | Message: Cannot read properties of undefined (reading '_id')
04-07-2025 18:18:15 | ERROR: status: 500 | Message: Cannot read properties of undefined (reading '_id')
04-07-2025 18:18:40 | ERROR: status: 500 | Message: Cannot read properties of undefined (reading '_id')
04-07-2025 18:19:28 | ERROR: status: 500 | Message: Cannot read properties of undefined (reading '_id')
04-07-2025 18:24:31 | ERROR: status: 403 | Message: Access denied.
04-07-2025 18:30:41 | INFO: status: 200 | Message: Token provided.
04-07-2025 18:31:25 | INFO: status: 200 | Message: Program sent successfully.
04-07-2025 18:32:12 | ERROR: status: 400 | Message: Access denied, No token provided.
04-07-2025 18:32:24 | ERROR: status: 400 | Message: Access denied, No token provided.
04-07-2025 18:32:41 | INFO: status: 200 | Message: Program sent successfully.
04-07-2025 18:33:02 | ERROR: status: 403 | Message: Access denied.
04-07-2025 18:40:51 | ERROR: status: 403 | Message: Access denied.
04-07-2025 18:41:17 | ERROR: status: 403 | Message: Access denied.
04-07-2025 18:42:10 | ERROR: status: 403 | Message: Access denied.
04-07-2025 18:42:48 | INFO: status: 200 | Message: Program sent successfully.
04-07-2025 18:44:16 | ERROR: status: 400 | Message: Invalid token.
04-07-2025 18:44:39 | ERROR: status: 403 | Message: Access denied.
04-07-2025 18:51:19 | ERROR: status: 403 | Message: Access denied.
04-07-2025 18:53:58 | INFO: status: 200 | Message: Program sent successfully.
04-07-2025 19:15:05 | ERROR: status: 400 | Message: Trainer is not the owner
04-07-2025 19:15:20 | INFO: status: 200 | Message: Program sent successfully.
04-07-2025 19:16:25 | ERROR: status: 400 | Message: Trainer is not the owner
04-07-2025 19:16:40 | ERROR: status: 400 | Message: Trainer is not the owner
