09-07-2025 21:39:45 | ERROR: status: 400 | Message: Access denied, No token provided.
09-07-2025 21:45:39 | ERROR: status: 400 | Message: failed to login, User not found.
09-07-2025 21:45:45 | INFO: status: 200 | Message: Token provided.
09-07-2025 21:45:46 | INFO: status: 200 | Message: User sent successfully.
09-07-2025 21:45:55 | INFO: status: 304 | Message: User sent successfully.
09-07-2025 21:45:55 | INFO: status: 200 | Message: User sent successfully.
09-07-2025 21:46:11 | ERROR: status: 403 | Message: Access denied.
09-07-2025 21:49:23 | ERROR: status: 403 | Message: Access denied.
09-07-2025 21:52:10 | ERROR: status: 400 | Message: failed to login, User not found.
09-07-2025 21:52:15 | INFO: status: 200 | Message: Token provided.
09-07-2025 21:52:15 | INFO: status: 304 | Message: User sent successfully.
09-07-2025 21:52:36 | INFO: status: 200 | Message: User sent successfully.
09-07-2025 21:52:36 | INFO: status: 304 | Message: User sent successfully.
09-07-2025 21:52:42 | ERROR: status: 403 | Message: Access denied.
09-07-2025 21:53:59 | INFO: status: 200 | Message: Program created successfully.
09-07-2025 21:58:55 | INFO: status: 200 | Message: User sent successfully.
09-07-2025 21:58:55 | INFO: status: 200 | Message: User sent successfully.
09-07-2025 22:25:16 | INFO: status: 304 | Message: User sent successfully.
09-07-2025 22:25:16 | INFO: status: 200 | Message: User sent successfully.
09-07-2025 22:26:26 | INFO: status: 304 | Message: User sent successfully.
09-07-2025 22:26:26 | INFO: status: 200 | Message: User sent successfully.
09-07-2025 22:26:30 | INFO: status: 304 | Message: User sent successfully.
09-07-2025 22:26:30 | INFO: status: 200 | Message: User sent successfully.
09-07-2025 22:27:29 | INFO: status: 304 | Message: User sent successfully.
09-07-2025 22:27:29 | INFO: status: 200 | Message: User sent successfully.
09-07-2025 22:28:51 | INFO: status: 304 | Message: User sent successfully.
09-07-2025 22:28:52 | INFO: status: 304 | Message: User sent successfully.
09-07-2025 22:29:54 | INFO: status: 304 | Message: User sent successfully.
09-07-2025 22:29:54 | INFO: status: 200 | Message: User sent successfully.
09-07-2025 22:30:50 | INFO: status: 304 | Message: User sent successfully.
09-07-2025 22:30:50 | INFO: status: 200 | Message: User sent successfully.
09-07-2025 22:31:46 | INFO: status: 304 | Message: User sent successfully.
09-07-2025 22:31:46 | INFO: status: 200 | Message: User sent successfully.
