14-06-2025 20:34:23 | ERROR: status: 400 | Message: failed to login, User not found.
14-06-2025 20:34:47 | ERROR: status: 400 | Message: failed to login, password not matching.
14-06-2025 20:48:50 | ERROR: status: 400 | Message: Access denied, No token provided.
14-06-2025 20:48:50 | ERROR: status: 400 | Message: Access denied, No token provided.
14-06-2025 20:55:29 | INFO: status: 200 | Message: Token provided.
14-06-2025 20:59:03 | INFO: status: 200 | Message: Token provided.
14-06-2025 21:00:29 | ERROR: status: 400 | Message: failed to login, User not found.
14-06-2025 21:00:37 | INFO: status: 200 | Message: Token provided.
14-06-2025 21:00:37 | INFO: status: 200 | Message: User sent successfully.
14-06-2025 21:11:15 | INFO: status: 304 | Message: User sent successfully.
14-06-2025 21:11:15 | INFO: status: 200 | Message: User sent successfully.
14-06-2025 21:11:17 | INFO: status: 304 | Message: User sent successfully.
14-06-2025 21:11:17 | INFO: status: 200 | Message: User sent successfully.
14-06-2025 21:12:18 | INFO: status: 304 | Message: User sent successfully.
14-06-2025 21:12:18 | INFO: status: 200 | Message: User sent successfully.
14-06-2025 21:12:50 | INFO: status: 304 | Message: User sent successfully.
14-06-2025 21:12:50 | INFO: status: 200 | Message: User sent successfully.
14-06-2025 21:14:12 | INFO: status: 304 | Message: User sent successfully.
14-06-2025 21:14:12 | INFO: status: 200 | Message: User sent successfully.
